Rank,Song,Artist,Year,Lyrics_List
44,kryptonite,3 doors down,2001,"took,walk,around,world,ease,troubled,mind,left,body,lying,somewhere,sands,time,watched,world,float,dark,side,moon,feel,nothing,yeahi,watched,world,float,dark,side,moon,knew,something,really,dont,mind,happens,long,youll,friend,endif,go,crazy,still,call,superman,im,alive,well,holding,hand,ill,keep,side,superhuman,might,kryptoniteyou,call,strong,call,weak,still,secrets,keep,took,granted,times,never,let,downyou,stumbled,bumped,head,youd,dead,picked,put,back,solid,groundif,go,crazy,still,call,superman,im,alive,well,holding,hand,ill,keep,side,superhuman,might,kryptoniteif,go,crazy,still,call,superman,im,alive,well,holding,hand,ill,keep,side,superhuman,might,kryptonite,yeahif,go,crazy,still,call,superman,im,alive,well,holding,hand,ill,keep,side,superhuman,might,kryptonite"
45,fiesta,r kelly featuring jayz,2001,"show,party,party,hotel,lobby,belve,probably,cris,original,probably,fiesta,yes,bedstuy,fiesta,remix,homie,midwest,side,game,recognize,game,hoes,new,2,live,crew,suppose,knew,thugs,pop,yo,toasters,dont,approach,us,bulletsll,chase,like,moet,mimosas,catch,us,coasts,racin,twin,porsches,boxes,glocks,thatll,pop,ya,make,ya,ghostes,whoever,come,closest,youve,warned,niggas,dont,get,picture,til,weapons,drawn,make,way,backstage,baby,girl,well,drinkin,til,six,morninin,back,club,mama,poppin,bottles,cris,mama,put,bar,tab,mama,throwin,hundreds,grabs,mama,cause,go,tonight,im,drinkin,til,early,lizight,thats,right,nigga,high,like,muhfuckin,kizite,take,three,honies,make,feel,rizight,say,see,frozen,ice,say,anytime,see,big,things,cause,iwhile,yall,gotta,club,date,im,fuckin,wit,arenas,gotcha,man,sayin,kelly,seen,yeah,wit,low,gettin,high,dro,got,knees,flofiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiesta,fiestaswitchin,lanes,six,burbs,met,broad,named,tasha,burbs,took,hood,moved,burbs,sheriffs,polices,burbs,thats,right,tear,club,dont,worry,bout,expenses,cause,got,sho,nough,ready,boo,like,im,fresh,outta,jizzail,need,woo,honeys,dl,said,yeah,thugs,yellin,strippers,fizzles,say,yeah,got,kisha,yellin,sizzlewhile,yall,gotta,club,date,im,fuckin,wit,arenas,gotcha,man,sayin,kelly,seen,yeah,wit,low,gettin,high,dro,got,knees,floi,put,big,body,come,rover,kelly,gotti,boo,hova,pop,cris,like,ice,glist,light,im,wit,rocland,right,im,rich,life,im,like,heaven,everybody,wanna,get,make,gates,forget,key,im,one,god,chose,blessed,gotti,floyd,getchu,higher,ecstasyhey,yo,come,stunnin,plus,im,gettin,blunted,new,sixhundred,big,rims,rock,rocks,thatll,light,ya,shoulders,gotta,lotta,hot,cars,drops,colder,ah,see,vip,kelly,gotti,hov,drinkin,cris,like,h2o,spend,cheese,cause,love,dough,mami,roll,trees,time,goif,got,cash,money,feel,shit,rollin,things,feel,shit,drunk,club,feel,shit,youse,motherfuckin,thug,feel,shit,smokin,dro,feel,shit,ecstasy,gots,feel,shit,sippin,cris,gots,feel,shit,throwin,shit,gots,feel,shit,fiestafiesta,fiesta"
46,when its over,sugar ray,2001,"thats,time,fall,love,thats,time,youre,heart,go,go,go,go,know,never,ends,never,endsall,things,used,say,words,got,way,things,used,know,gone,window,things,used,bring,songs,used,sing,favorite,tv,shows,gone,windowim,missing,never,knew,much,shed,loved,im,missing,never,knew,much,meant,need,go,go,go,go,know,never,ends,never,endsall,things,used,say,words,got,way,things,used,know,gone,window,things,used,bring,songs,used,sing,favorite,tv,shows,gone,windowim,wishing,never,said,pretending,im,wishing,feel,come,back,need,go,go,go,go,know,never,ends,never,endswhen,still,come,really,thats,time,fall,love,againall,things,used,say,words,got,way,things,used,know,gone,window,things,used,bring,songs,used,sing,favorite,tv,shows,gone,windowall,things,used,say,words,got,way,things,used,know,gone,window,things,used,bring,songs,used,sing,favorite,tv,shows,gone,windowall,things,used,say,words,got,way,things,used,know,gone,window,things,used,bring,songs,used,sing"
48,promise,jagged edge,2001,"nothing,promised,let,thing,go,baby,promise,ill,stay,true,dont,let,nobody,say,aint,baby,promise,never,leave,everything,alright,promise,things,girl,believe,promiseshould,known,things,said,right,forever,long,time,never,even,fight,dont,let,one,change,mind,cause,dont,know,much,care,dont,know,things,share,unless,theyre,babe,since,theyre,say,im,true,oh,oh,ohif,need,love,got,love,need,aint,way,take,pray,god,one,day,see,theyll,see,im,neednothing,promised,let,thing,go,baby,promise,ill,stay,true,dont,let,nobody,say,aint,baby,promise,never,leave,everything,alright,promise,things,girl,believe,promisewhen,think,times,said,see,another,day,baby,nothings,gonna,change,yes,said,mean,world,babygirl,keep,first,yeah,cause,thats,kind,love,deserve,know,got,love,need,love,yeahif,need,love,got,love,need,aint,way,take,pray,god,one,day,seei,swear,promised,oh,girl,nothing,promised,let,thing,go,baby,promise,ill,stay,true,dont,let,nobody,say,aint,baby,promise,never,leave,everything,alright,promise,things,girl,believe,promiseyoure,want,life,promise,everything,alright,girl,youre,want,life,promise,promise,promise,babyyoure,want,life,promise,everything,alright,girl,youre,want,life,promise,promise,promise,babyyoure,want,life,promise,everything,alright,girl,youre,want,life,promise,promise,promise,babyyoure,want,life"
49,missing you,case,2001,"standing,looking,window,nights,long,days,cold,cause,dont,damn,demanding,know,said,cant,let,goevery,day,want,pick,phone,tell,youre,everything,need,could,find,youlike,cold,summer,afternoon,like,snow,coming,june,like,wedding,without,groom,im,missing,im,desert,without,sand,youre,woman,without,man,im,ring,without,hand,im,missing,youdriving,round,thought,saw,pass,rear,view,mirrors,playing,tricks,cause,fade,away,maybe,im,hallucinating,cause,loneliness,got,best,hearts,weakevery,day,want,pick,phone,tell,youre,everything,need,could,find,youlike,cold,summer,afternoon,like,snow,coming,june,like,wedding,without,groom,im,missing,im,desert,without,sand,youre,woman,without,man,im,ring,without,hand,im,missing,youlike,cold,summer,afternoon,like,snow,coming,june,like,wedding,without,groom,im,missing,im,desert,without,sand,youre,woman,without,man,im,ring,without,hand,im,missing,youyeah,yeah,yeah,yeah,yeah,yeah,yeah,yeah,yeahlike,cold,summer,afternoon,like,snow,coming,june,like,wedding,without,groom,im,missing,im,desert,without,sand,youre,woman,without,man,im,ring,without,hand,im,missing"
50,differences,ginuwine,2001,"oh,hey,oh,yeah,oh,yeah,mmm,mmm,mmm,oh,yeah,babemy,whole,life,changed,whole,life,changed,since,came,since,came,knew,back,knew,back,special,one,one,im,love,love,deep,love,deep,love,make,life,completeyou,complete,sweet,sweet,one,competes,one,competes,glad,came,life,life,blind,love,love,sight,sightgirl,open,im,wide,open,im,things,never,feel,good,feel,good,take,long,finding,youthis,story,im,telling,fiction,surely,fact,without,right,back,really,dont,know,id,atmy,whole,life,changed,whole,life,changed,yeah,since,came,knew,back,ooh,oh,yeah,special,one,im,love,deep,loveyou,make,life,complete,make,make,life,complete,sweet,one,competesoh,oh,oh,glad,came,life,oh,blind,love,sighti,analyzed,buck,wild,never,thought,settling,time,knew,ready,friends,aroundbut,girl,put,first,put,first,made,helped,mold,mold,baby,turned,man,im,responsible,owe,youmy,whole,life,changed,whole,life,changed,since,came,knew,back,come,special,one,special,one,im,love,deep,love,oh,oh,ohyou,make,life,complete,make,life,complete,sweet,one,competes,glad,came,life,glad,came,blind,love,blind,baby,sightgod,blessed,god,blessed,baby,girl,good,sent,im,happy,im,happy,baby,oh,yes,share,world,come,share,world,baby,oh,whoa,yeah,yeah,im,love,im,love,im,addicted,love,baby,yeahmy,whole,life,changed,oh,yes,since,came,knew,back,ooh,special,one,special,one,im,love,special,one,deep,loveyou,make,life,complete,make,life,complete,sweet,yes,baby,one,competesno,one,competes,oh,glad,came,life,blind,love,come,sightmy,whole,life,changed,whole,life,changed,since,came,knew,back,made,difference,life,special,one,knew,special,one,im,love,deep,love,first,laid,eyes,babeyou,make,life,complete,make,life,complete,darlin,sweet,one,competes,one,competes,baby,glad,came,life,one,one,blind,love,one,sight,come,onmy,whole,life,changed,oh,whoa,whoa,whoa,since,came,knew,back"
51,this i promise you,n sync,2001,"n,sync,strings,attached,promise,ohh,ohh,visions,around,bring,tears,eyes,surround,secrets,lies,ill,strength,ill,give,hope,keeping,faith,gone,one,call,standing,along,take,arms,hold,right,belong,till,day,life,promise,promise,ive,loved,forever,lifetimes,promise,never,hurt,anymore,give,word,give,heart,give,heart,battle,weve,vow,forever,begun,close,eyes,close,eyes,loving,day,loving,day,know,feeling,wont,go,away,till,day,life,promise,promise,fall,fall,hear,call,without,life,baby,wouldnt,living,take,take,arms,arms,hold,right,belong,right,belong,till,day,life,promise,baby,close,eyes,loving,day,loving,day,know,feeling,wont,go,away,every,word,say,true,promise,every,word,say,true,promise,ooh,promise"
52,izzo hova,jayz,2001,"h,izzo,v,izza,fo,shizzle,nizzle,used,dribble,va,hurtin,em,home,terrapins,got,dirt,cheap,plus,short,cheese,would,work,brought,weed,got,rid,dirt,wasnt,born,hustlers,birthin,em,h,izzo,v,izza,fo,sheezy,neezy,keep,arms,freezy,cant,leave,rap,alone,game,needs,haters,want,clapped,chromed,aint,easy,cops,want,knock,da,want,box,somehow,beat,charges,like,rocky,h,izzo,v,izza,guilty,feel,real,therefore,doesnt,exist,poof,vamoose,son,bitchh,izzo,v,izza,fo,shizzle,nizzle,used,dribble,va,h,izzo,v,izza,thats,anthem,getcha,damn,hands,h,izzo,v,izza,guilty,yall,got,feel,h,izzo,v,izza,thats,anthem,getcha,damn,hands,upholla,culture,let,em,know,nigga,look,like,nigga,roaster,show,em,move,room,full,vultures,industry,shady,need,taken,label,owners,hate,im,raisin,status,quo,im,chargin,niggas,cold,crush,pay,us,like,owe,us,years,hoed,us,talk,money,talks,talk,mo,bucksh,izzo,v,izza,fo,shizzle,nizzle,used,dribble,va,h,izzo,v,izza,thats,anthem,getcha,damn,hands,h,izzo,v,izza,guilty,yall,got,feel,h,izzo,v,izza,thats,anthem,getcha,damn,hands,upyeah,hov,back,life,stories,told,rap,niggas,actin,like,sold,crack,like,told,sell,drugs,hov,hopefully,wont,go,raised,projects,roaches,rats,smokers,back,sellin,mamas,sofa,lookouts,corner,focused,ave,ladies,window,focused,kinfolk,lamp,post,got,hand,closed,cracks,palm,watchin,long,arm,law,know,seen,seen,hoop,dreams,deflate,like,true,fiends,weight,try,fail,two,things,hate,succeed,rap,game,two,things,thats,great,h,izzo,v,izza,else,say,dude,gets,busyh,izzo,v,izza,fo,shizzle,nizzle,used,dribble,va,h,izzo,v,izza,thats,anthem,getcha,damn,hands,h,izzo,v,izza,guilty,yall,got,feel,h,izzo,v,izza,thats,anthem,getcha,damn,hands,uph,izzo,v,izza,h,izzo,v,izza,h,izzo,v,izza,h,izzo,v,izza"
53,superwoman pt ii,lil mo featuring fabolous,2001,"guess,aint,got,reason,mingle,round,found,superwoman,leap,truck,single,bound,mammie,im,tryina,bling,niggas,without,shades,cant,stare,bring,round,put,lips,weed,pull,work,tongue,cum,faster,speeding,bullet,loves,stronger,locomotive,fabolous,sing,baby,cant,play,cause,ill,save,super,powers,boy,im,human,ill,super,woman,dont,know,girls,like,take,girl,like,get,guy,like,understand,girls,guys,sing,im,average,chic,cause,cant,like,ive,sent,save,day,things,wont,baby,cant,play,cause,ill,save,super,powers,boy,im,human,ill,super,woman,boy,told,aint,gotta,look,sky,cause,girl,need,right,eyes,sick,broads,aint,got,nothing,stand,cause,wont,fall,baby,ooh,baby,cant,play,cause,ill,save,super,powers,boy,im,human,ill,super,woman,everyday,everyday,ill,love,special,way,cant,stay,im,im,superwoman,bout,save,day,cos,hooked,gave,play,wouldnt,even,wave,way,understand,chicks,behave,way,see,icy,chest,engraved,grey,hipped,might,usually,get,tips,im,tight,green,keep,kryptonite,blowing,red,suit,hits,hips,right,like,de,de,de,de,de,de,de,de,de,de,damn,like,im,spell,feelin,crime,gon,put,jail,probably,hear,details,everything,lairs,cls,share,females,know,care,care,anytime,niggas,feelings,share,makes,ill,mo,clear,baby,cant,play,cause,ill,save,super,powers,boy,im,human,ill,super,woman"
54,crazy for this girl,evan and jaron,2001,"evan,miscellaneous,crazy,girl,crazy,girl,evan,jaron,rolls,window,talks,sound,cars,pass,us,dont,know,shes,changed,life,chorus,look,looks,shes,got,thinkin,constantly,cuz,dont,know,feel,carries,without,doubt,wonder,shes,figured,im,crazy,girl,im,crazy,girl,one,hold,night,sky,fell,thinkin,world,didnt,end,know,know,chorus,right,face,face,fears,pushed,aside,right,im,ready,spend,rest,life,chorus,piano,solo,chorus"
55,nobody wants to be lonely,ricky martin and christina aguilera,2001,"darkened,room,youre,alone,looking,window,heart,cold,lost,love,like,broken,arrow,stand,shadows,come,come,cant,see,thatnobody,wants,lonely,nobody,wants,cry,bodys,longing,hold,bad,hurts,inside,time,precious,slipping,away,ive,waiting,life,nobody,wants,lonely,dont,let,love,youcan,hear,voice,hear,song,serenade,heart,find,suddenly,youre,flying,stairs,arms,baby,start,going,crazy,run,run,cause,im,dyingnobody,wants,lonely,nobody,wants,cry,bodys,longing,hold,bad,hurts,inside,time,precious,slipping,away,ive,waiting,life,nobody,wants,lonely,dont,let,love,youwhy,oh,whyi,want,feel,need,like,air,youre,breathing,need,life,dont,walk,away,dont,walk,away,dont,walk,away,dont,walk,away,nonobody,wants,lonely,nobody,wants,cry,nobody,wants,lonely,dont,want,lonely,nobody,wants,cry,dont,want,cry,bodys,longing,hold,im,longing,hold,bad,hurts,inside,time,precious,slipping,away,ive,waiting,life,nobody,wants,lonely,dont,let,love,youwhy,dont,let,love,whynobody,wants,lonely,dont,want,cry,nobody,wants,cry,bodys,longing,hold,bad,hurts,inside,nobody,wants,lonely,dont,want,lonely,nobody,wants,cry,dont,want,cry,nobody"
56,i just wanna love u give it 2 me,jayz,2001,"lets,go,hov,uh,huh,hov,ready,hov,unstoppable,dynasty,young,hovaim,hustler,baby,im,hustler,want,know,wanna,let,know,aint,aint,im,bout,go,top,world,wanna,love,wanna,love,know,love,cash,mo,money,mo,problems,youll,forget,man,give,gimme,funk,sweet,nasty,gushi,stuff,dont,bullshit,cmon,gimme,funk,sweet,nasty,gushi,stuffwhen,remis,system,aint,tellin,fuck,em,diss,em,thats,yellin,im,pimp,blood,relation,yall,chasin,replace,huh,drunk,crist,mami,e,cant,keep,little,model,hands,club,high,singing,key,wish,never,met,gets,better,ordered,another,round,go,got,six,model,chicks,six,bottles,crist,four,belvederes,got,weed,everywhere,say,chloe,glasses,go,somewhere,private,discuss,fashion,like,prada,blouse,gucci,bra,filth,mart,jeans,take,offgive,gimme,funk,sweet,nasty,gushi,stuff,dont,bullshit,cmon,gimme,funk,sweet,nasty,gushi,stuff,said,give,gimme,funk,sweet,nasty,gushi,stuff,dont,bullshit,mama,gimme,funk,sweet,nasty,gushi,stuffyeah,save,narrative,savin,marriage,lets,keep,real,savin,karats,wanna,see,far,im,go,much,ima,spend,already,know,zip,zero,stingy,dinero,might,buy,crist,might,light,wrist,fuck,might,wife,buy,nice,whips,really,gotta,ride,nice,dick,know,work,hips,heads,priceless,profess,love,hov,ill,never,let,get,bling,like,neptune,sound,okay,hot,hov,hot,hold,ladies,love,long,time,like,2pacs,soul,way,roll,jigga,two,ladies,im,cold,motorola,two,way,page,cmongive,gimme,funk,sweet,nasty,gushi,stuff,dont,bullshit,cmon,gimme,funk,sweet,nasty,gushi,stuff,said,give,gimme,funk,sweet,nasty,gushi,stuff,dont,bullshit,mama,gimme,funk,sweet,nasty,gushi,stuff,im,hustler,baby,uh,hov,want,know,hov,aint,im,bout,go,hov,hov,wanna,love,young,hova,know,love,cash,mo,money,mo,problems,youll,forget,manyeah,yeah,yeah,song,im,back,around,world,romancing,girls,dance,girls,club,cheetah,club,amnesia,peanuts,la,bubblin,dublin,cant,deny,would,want,need,dont,try,baby,want,believe,hovgive,gimme,funk,sweet,nasty,gushi,stuff,dont,bullshit,cmon,gimme,funk,sweet,nasty,gushi,stuff,said,give,gimme,funk,sweet,nasty,gushi,stuff,dont,bullshit,mama,gimme,funk,sweet,nasty,gushi,stuffyou,gotta,give,uh,uh,huh"
57,one minute man,missy elliott featuring ludacris,2001,"ooh,dont,want,dont,need,cant,stand,minute,man,dont,want,minute,man,ooh,heres,chance,man,take,hand,understand,dont,want,minute,manboy,ima,make,love,make,want,ima,give,attention,tonight,follow,intuitions,youre,wishin,see,ima,keep,night,long,time,start,countin,awaybreak,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,notonight,imma,give,throw,want,come,prepared,ohh,yeah,oh,yes,boy,long,time,crazy,long,time,dont,want,minute,man,thats,real,give,morebreak,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,noits,time,set,clock,back,bout,long,stop,daylight,ludacris,maintenance,man,get,oil,changed,check,fluids,transmission,one,minute,fools,wonder,yall,missin,back,milk,cartons,theres,reward,regards,close,cigar,hard,head,make,soft,ass,hard,dick,make,sex,last,jump,pools,make,big,splash,water,overflowin,get,head,right,mind,punk,keep,head,tight,enough,tips,advice,thangs,im,big,dog,havin,women,seein,stripes,thangs,go,sleep,start,snorin,countin,sheep,shit,wet,body,start,leak,shit,cause,im,allnighter,shoot,fire,ludacris,balance,rotate,tiresooh,dont,want,dont,need,cant,stand,minute,man,dont,want,minute,man,ooh,heres,chance,man,take,hand,understand,dont,want,minute,manbreak,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,one,minute,man,break,show,got,cause,dont,want,one,minute,man,break,show,got,break,show,got,break,show,got,break,show,got,break"
58,danger been so long,mystikal featuring nivea,2001,"know,time,nigga,know,fuck,danger,danger,get,floor,nigga,right,chea,sing,itbeen,long,sing,hes,please,get,floor,show,nigga,right,chea,want,seego,tell,dj,put,shit,im,keeping,niggas,bitches,jump,minute,get,taking,shirt,showing,tattoos,screaming,hollering,got,gift,come,put,together,deliver,make,feel,bitch,sharp,like,pulled,pencil,sharpener,bad,like,student,principal,office,put,rappers,coffins,dive,like,dolphins,im,damnedest,lyrical,marvel,come,across,often,watch,fuck,around,get,beside,know,go,head,though,bounce,titties,shake,ass,drop,pussy,stay,line,ho,fuck,cant,cause,cocked,head,pussy,popping,handstand,leave,pussy,smoking,gon,something,bend,bust,pussy,openbeen,long,sing,since,hes,sing,please,get,floor,show,nigga,right,chea,want,seebeen,long,sing,since,hes,sing,please,show,want,seemy,fucking,concert,line,around,corner,parking,cars,niggas,looking,bitch,nothing,looking,good,momma,pssh,whats,homie,sirens,limousines,club,owner,ya,bitch,late,aint,getting,bitch,cause,filling,inside,packed,floor,ceiling,building,aint,big,enough,im,backstage,bouncing,adrenaline,building,pussy,cutter,stutter,heart,flutter,make,woman,drawers,melt,like,butter,like,nelly,im,hype,like,belly,rhyme,seller,kick,ass,like,jim,kelly,stand,round,boot,frown,tell,nigga,wanna,try,bitch,come,sweat,blood,tears,tell,shit,bitch,thats,isbeen,long,sing,since,hes,sing,please,get,floor,show,nigga,right,chea,want,seebeen,long,sing,since,hes,sing,please,get,floor,show,nigga,right,chea,want,seedanger,talking,bout,danger,motherfucker,look,get,flo,nigga,right,chea,danger,motherfucker,watch,back,danger,look,look,nigga,look,look,get,flo,nigga,right,chea,get,em,upbeen,long,sing,since,hes,sing,please,get,floor,show,nigga,right,chea,want,seebeen,long,sing,since,hes,sing,please,get,floor,show,nigga,right,chea,want,seedanger,get,flo"
59,only time,enya,2001,"say,road,goes,day,flows,timeand,say,love,grows,heart,chose,timeinterludewho,say,heart,sighs,love,flies,timeand,say,heart,cries,love,lies,timeinterludewho,say,roads,meet,love,might,heartand,say,day,sleeps,night,keeps,heart,night,keeps,heartinterludewho,say,love,grows,heart,chose,timeand,say,road,goes,day,flows,timewho,knows,timewho,knows,time"
60,i do,toya,2001,"six,foot,stallion,said,storybook,thug,kind,made,wonder,put,love,hickey,pocket,rock,ear,made,heart,stop,palpitating,every,time,came,nearhe,spankin,new,range,tight,wardrobe,pants,saggin,plaided,head,cornrows,wrists,bling,blinging,long,legs,bow,tried,push,knew,goi,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,controlcause,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,control,cause,dome,crew,started,groovin,made,way,floor,start,activate,pad,give,hottie,show,shook,hips,took,dip,roll,tounge,cross,lips,took,place,dance,wit,felt,fingertipson,small,back,react,like,playin,hard,get,told,boy,step,back,looked,deep,eyes,could,see,soul,im,bout,make,guy,man,tell,fa,showi,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,controlcause,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,control,cause,dowatch,drop,drop,shake,fellas,know,watch,pop,pop,ass,dip,roll,watch,stop,stop,traffic,walk,room,knowin,papis,want,want,youi,watch,drop,drop,shake,fellas,know,watch,pop,pop,ass,dip,roll,watch,stop,stop,traffic,walk,room,knowin,papis,want,want,youi,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,controlcause,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,controlcause,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,controlcause,wonder,feel,way,see,eyes,entice,come,shorty,think,roll,iced,playah,ballin,control,cause"
61,never had a dream come true,s club 7,2001,"everybodys,got,something,leave,behind,one,regret,yesterday,seems,grow,timetheres,use,lookin,back,wonderin,could,might,know,still,cant,find,ways,let,goi,never,dream,come,true,till,day,found,even,though,pretend,moved,youll,always,babyi,never,found,words,say,youre,one,think,day,know,matter,life,takes,part,always,yousomewhere,memory,ive,lost,sense,time,tomorrow,never,cause,yesterday,fills,mindtheres,use,lookin,back,wonderin,might,know,still,cant,find,ways,let,goi,never,dream,come,true,till,day,found,even,though,pretend,moved,youll,always,babyi,never,found,words,say,youre,one,think,day,know,matter,life,takes,part,always,beyoull,always,dream,fills,head,yes,say,know,oh,baby,youll,always,one,know,ill,never,forgettheres,use,lookin,back,wonderin,love,strange,funny,thing,matter,try,try,cant,say,goodbye,noi,never,dream,come,true,till,day,found,even,though,pretend,moved,youll,always,babyi,never,found,words,say,youre,one,think,day,know,matter,life,takes,part,always,part,always"
62,stranger in my house,tamia,2001,"theres,stranger,house,took,figure,theres,way,could,say,got,someone,elsecause,wouldnt,touch,like,wouldnt,treat,like,would,adore,wouldnt,ignore,im,convinced,theres,stranger,housei,dont,understand,look,like,man,picture,bed,suspense,pounding,clouding,headim,checking,clothes,wear,size,shoe,sleep,spot,driving,car,dont,know,aretheres,stranger,house,took,figure,theres,way,could,say,got,someone,elsecause,wouldnt,touch,like,wouldnt,treat,like,would,adore,wouldnt,ignore,im,convinced,theres,stranger,houseim,sure,dont,see,shadow,around,walk,leave,kisses,goodbye,words,walls,could,talk,would,nothing,tellso,could,someone,imitating,could,taking,place,look,face,tell,im,wrong,saytheres,stranger,house,took,figure,theres,way,could,say,got,someone,elsecause,wouldnt,touch,like,wouldnt,treat,like,would,adore,wouldnt,ignore,im,convinced,theres,stranger,housepop,quiz,tell,first,kissed,tell,spot,tell,liked,loved,could,stranger,changed,drasticly,want,remain,sametheres,stranger,house,took,figure,theres,way,could,say,got,someone,elsecause,wouldnt,touch,like,wouldnt,treat,like,would,adore,wouldnt,ignore,im,convinced,theres,stranger,housetheres,stranger,house,took,figure,theres,way,could,say,got,someone,elsecause,wouldnt,touch,like,wouldnt,treat,like,would,adore,wouldnt,ignore,im,convinced,theres,stranger,house"
63,irresistible,jessica simpson,2001,"know,dont,know,everything,irresistibledont,try,tell,hes,type,hide,feel,inside,makes,weak,desire,know,im,supposed,make,wait,let,think,like,chase,cant,stop,fanning,firei,know,meant,say,nobut,hes,irresistible,close,personal,inescapable,hardly,breathe,physical,deeper,spiritual,ways,powerful,irresistible,hardly,breathedont,think,im,trying,tell,heart,whats,right,really,say,goodnight,cant,stop,falling,maybe,ill,tell,feel,dont,want,play,game,cause,feel,arms,wrapped,around,mei,know,meant,say,nobut,hes,irresistible,close,personal,inescapable,hardly,breathe,physical,deeper,spiritual,ways,powerful,irresistible,mecant,see,whenever,hes,close,really,find,hard,breathe,hes,irresistiblebaby,know,spiritual,kisses,powerful,hes,irresistiblebut,hes,irresistible,close,personal,inescapable,hardly,breathe,physical,deeper,spiritual,ways,powerful,irresistible,mehes,irresistible,close,personal,inescapable,hardly,breathe,physical,deeper,spiritual,ways,powerful,irresistible"
64,heard it all before,sunshine anderson,2001,"baby,let,explain,im,sayin,sayin,even,like,wasnt,like,saw,baby,dont,love,dont,love,know,dont,even,want,talk,youshe,dont,mean,nothing,dont,want,see,ya,face,want,see,walking,door,aint,nothing,else,say,peacecome,home,late,seems,barely,beat,sun,tapping,shoulder,thinking,gonna,get,smelling,like,fragrance,dont,even,wear,want,loving,suggest,go,back,came,fromday,day,always,something,else,working,nerve,god,knows,dont,deserve,put,cause,true,come,another,lame,excusesee,iheard,heard,ya,lies,ya,sweet,talk,baby,baby,lies,aint,working,look,whos,hurting,see,shut,shut,downplayed,fool,played,fool,fool,believed,yes,yes,lies,aint,working,look,whos,hurting,see,shut,shut,downwhat,thinking,bringing,home,bed,must,fell,bumped,head,messing,sheets,violating,bout,call,peeps,take,streetsnothing,theres,nothing,say,would,persuade,stay,another,day,crossed,line,point,return,longer,concernedsee,iheard,heard,let,explain,baby,think,thats,said,lies,aint,working,look,whos,hurting,see,shut,shut,downplayed,fool,played,fool,got,good,game,must,admit,lies,aint,working,look,whos,hurting,see,shut,shut,downuse,hang,every,word,lie,hurt,things,use,say,would,sound,sweet,naive,quick,believeheard,work,wasnt,car,saw,baby,swear,wasnt,lies,aint,working,look,whos,hurting,see,shut,shut,downplayed,fool,played,fool,boo,trusted,way,long,lies,aint,working,look,whos,hurting,see,shut,shut,downheard,know,messed,got,know,messed,got,go,say,want,lies,aint,working,look,whos,hurting,see,shut,shut,downplayed,fool,done,change,locks,door,yes,aint,welcome,lies,aint,working,look,whos,hurting,see,shut,shut,downsee,heard"
65,the space between,dave matthews band,2001,"cannot,quit,quickly,hope,corner,could,squeeze,got,time,lovethe,space,tears,cry,laughter,keeps,us,coming,back,space,wicked,lies,tell,hope,keep,safe,painbut,hold,againthese,fickle,fuddled,words,confuse,like,rain,today,waste,hours,talking,talking,twisted,games,playingwere,strange,allies,warring,hearts,wildeyed,beast,youll,space,wicked,lies,tell,hope,keep,safe,painbut,hold,holdlook,us,spinning,madness,roller,coaster,know,went,like,devil,church,middle,crowded,room,love,hope,dont,take,ship,downbut,space,youre,smilin,high,youll,find,get,go,space,bullets,firefight,ill,hiding,waiting,youthe,rain,falls,splash,heart,ran,like,sadness,window,room,space,wicked,lies,hope,keep,safe,paintake,hand,cause,walking,oh,right,love,need,dearthe,space,whats,wrong,right,youll,find,hiding,waiting,space,heart,mine,space,well,fill,timethe,space,space"
66,there youll be,faith hill,2001,"think,back,times,dreams,left,behind,ill,glad,cause,blessed,get,lifewhen,look,back,days,ill,look,see,face,right,mein,dreams,ill,always,see,soaring,sky,heart,therell,always,place,life,ill,keep,part,everywhere,youll,everywhere,youll,bewell,showed,feels,feel,sky,within,reach,always,remember,strength,gave,love,made,make,oh,owe,much,right,mein,dreams,ill,always,see,soar,sky,heart,therell,always,place,life,ill,keep,part,everywhere,youll,always,saw,light,strength,want,thank,ways,right,right,right,alwaysin,dreams,ill,always,see,soar,sky,heart,therell,always,place,lifeill,keep,part,everywhere,youll,everywhere,youll,youll"
